2020-07-29 23:59:59,"""I'm sick, I'm struggling, at least [can the government] just help me to pay rent?"" asylum seeker Sara told @NassimKhadem 

A new @OzRefugeeCounc report shows the dire situation for asylum seekers and refugees who are locked out of covid financial support.
http://ab.co/3gauICA "
2020-07-29 23:59:59,There are so many & too little time to make a list for the Darwin Awards regarding COVID-19.
2020-07-29 23:59:59,@mariastephanos Help. I have a son in the high school class of 2021 who’s ACTs keep getting cancelled in MA. Other families go to other states to take the test. concern is that here in MA schools continue to not host the test due to COVid. Is the media aware?
2020-07-29 23:59:59,"Queria pegar COVID só pra tossir na cara do Leco, velho maldito do caralho"
2020-07-29 23:59:58,"#Gossip | La cantante Madonna fue censurada por Instagram tras publicar un video en el que se plantea la teoría de conspiración sobre que existe una vacuna efectiva contra el Covid-19
@Madonnahttps://www.elsoldesinaloa.com.mx/gossip/censuran-a-madonna-en-instagram-video-por-teorias-de-conspiracion-vacuna-covid-19-5558296.html …"
2020-07-29 23:59:58,me siento mal creo q tengo covid
2020-07-29 23:59:58,Inteligencia emocional en tiempos de Covid-19 https://www.facebook.com/watch/?v=740848266728025 … a través de @FacebookWatch
2020-07-29 23:59:57,"Exclusive: Buddy, first dog to test positive for COVID-19 in the U.S., has died https://www.nationalgeographic.com/animals/2020/07/first-dog-to-test-positive-for-covid-in-us-dies/ … via @NatGeo"
2020-07-29 23:59:57,"SP quer dobrar produção da vacina contra covid e espera exportar para América Latina
https://valor.globo.com/brasil/noticia/2020/07/29/sp-quer-dobrar-producao-da-vacina-contra-covid-e-espera-exportar-para-america-latina.ghtml …"
2020-07-29 23:59:56,"某県でCOVID-19感染が報道された学生は、家族ごとその地を離れざるを得なかったという話を聞いて、コロナの威力に驚いた。

私も週に数回立ち寄る近所の店で店員がCOVID-19判明。周りはそれなりに警戒したけど、まあ、それだけ。数日の閉鎖後にお店は普通に再開している。

ドライな都会で良かった。"
2020-07-29 23:59:56,"I’m not a parent (yet, maybe in the near future), but I have a niece and three nephews, one has graduated and the other three are still in school. Can someone please tell me, and my babies WHY they have to go back to a damn school building, possibly catch COVID"
2020-07-29 23:59:56,Are you watching from the dungeon basement or in your local Covid Bar in NJ??
2020-07-29 23:59:56,"A few things for what it's worth.

In my study, avg. age was 64, medication was administered within 1-2 days & every patient had tested COVID positive.

In your study, avg. age 50, medication administered btwn 7-14 days & patients were COVID positive or suspected COVID positive."
2020-07-29 23:59:56,"#virus JULY links to CORONAVIRUS #pandemic #coronavirus #COVID__19 #COVID19
https://tom-gillispie.blogspot.com/2020/06/more.html …"
2020-07-29 23:59:55,Oh my gosh we’re still on this. I swear we’re gonna find the vaccine to COVID before you finish tweeting at me 😂😂😂
2020-07-29 23:59:55,you've just said the servers are dogshit and have been for 2 years cause of covid i cba
2020-07-29 23:59:55,"#twatwaffle GOP congressman who frequently refuses to wear a mask tests positive for Covid-19

https://www.cnn.com/world/live-news/coronavirus-pandemic-07-29-20-intl/h_34c156a8a28f358908b8861be2fa4849?adobe_mc=TS%3D1596067164%7CMCMID%3D58799804314888264237128174382133656363%7CMCAID%3D2E7742EF8507D4A7-40000112800440A6%7CMCORGID%3D7FF852E2556756057F000101%40AdobeOrg …"
2020-07-29 23:59:55,"A student-athlete at Hoggard High School has tested positive for COVID-19, according to a press release from New Hanover County Schools. The athlete last attended workouts on July 24.

Here's what we know: https://www.highschoolot.com/hoggard-student-athlete-tests-positive-for-coronavirus/19211133/ … #HSOT"
2020-07-28 23:59:59,4 personas habrían muerto tras contraer COVID-19 dentro de hospital - https://www.crhoy.com/nacionales/4-personas-habrian-muerto-tras-contraer-covid-19-dentro-de-hospital/ …
